,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,costfor2,type,city
666,0,0,3.9,88,1,62,2509,1557,250.0,4,1
672,0,0,3.8,189,1,62,1665,1557,300.0,4,1
676,0,0,3.8,39,1,62,2752,1573,350.0,4,1
677,1,0,3.9,540,1,62,3358,1484,800.0,4,1
678,0,0,3.6,71,1,62,5107,1424,250.0,4,1
686,1,0,3.5,88,1,62,1114,1602,350.0,4,1
690,1,0,3.0,87,1,62,2196,1486,600.0,4,1
694,1,0,4.2,415,1,62,4302,1197,500.0,4,1
695,1,0,3.3,128,1,62,2611,1203,300.0,4,1
696,0,0,4.1,94,1,62,1676,1557,100.0,4,1
698,0,0,3.7,65,1,62,3431,878,300.0,4,1
701,0,0,3.5,52,1,62,4306,1557,300.0,4,1
703,1,0,3.0,290,1,62,1117,1222,450.0,4,1
704,1,0,3.7,59,1,62,3512,1461,200.0,4,1
705,0,0,3.7,130,1,62,1735,1557,200.0,4,1
708,1,0,3.5,80,1,62,4204,1680,250.0,4,1
709,1,0,3.9,441,1,62,265,1602,400.0,4,1
760,1,0,3.6,84,1,62,1673,1599,250.0,4,1
761,0,0,4.0,42,1,62,942,1625,300.0,4,1
763,1,0,3.0,213,1,62,3186,1436,400.0,4,1
766,0,0,4.2,725,30,62,3060,1562,350.0,4,1
767,1,0,3.9,750,4,20,1734,1284,500.0,4,1
768,0,0,3.8,166,4,20,3435,1414,600.0,4,1
769,0,0,4.4,4460,4,62,2061,1557,150.0,4,1
770,0,0,3.9,153,4,20,1804,1557,350.0,4,1
771,1,0,3.8,469,4,20,2824,1215,750.0,4,1
772,1,0,4.1,364,4,20,2775,1576,550.0,4,1
773,1,0,3.8,286,4,20,3316,1163,600.0,4,1
774,1,0,3.8,527,4,20,2747,1163,500.0,4,1
775,1,0,3.9,101,4,62,4783,1557,150.0,4,1
776,1,0,4.1,558,4,62,254,1557,150.0,4,1
778,0,0,3.8,148,4,22,3562,1201,550.0,4,1
779,0,0,2.7,377,4,57,4906,1299,1100.0,4,1
780,0,0,3.9,206,4,62,1027,1595,450.0,4,1
782,0,0,3.9,100,4,62,1743,1599,300.0,4,1
783,1,0,4.2,444,4,62,4784,1557,100.0,4,1
784,0,0,3.9,133,4,20,1289,985,650.0,4,1
785,1,0,4.0,219,4,13,3858,456,600.0,4,1
786,0,0,4.2,253,4,62,2510,1557,250.0,4,1
788,0,0,3.7,61,4,20,3046,311,600.0,4,1
789,1,0,3.8,155,54,20,3743,1585,400.0,4,1
790,1,0,3.9,233,30,20,1754,1013,800.0,4,1
791,1,0,3.7,264,54,20,2482,1219,750.0,4,1
793,0,0,4.1,238,4,62,2811,1557,600.0,4,1
797,1,0,4.1,176,4,20,459,68,800.0,4,1
798,1,0,3.7,93,4,62,2841,1638,200.0,4,1
799,0,0,3.8,124,4,62,2835,1584,300.0,4,1
800,1,0,4.3,275,4,62,2514,1557,100.0,4,1
801,0,0,4.2,254,4,62,2813,1557,150.0,4,1
802,0,0,4.1,177,4,62,2047,1557,100.0,4,1
804,1,0,4.0,132,4,62,4558,822,200.0,4,1
806,1,0,3.8,74,4,62,1681,1599,300.0,4,1
808,1,0,3.6,172,79,20,265,1203,700.0,4,1
811,1,0,3.9,543,4,62,2463,1581,300.0,4,1
812,0,0,4.0,52,4,62,1662,1557,300.0,4,1
813,0,0,3.7,217,4,20,853,1288,450.0,4,1
817,0,0,3.9,111,4,20,3006,1265,700.0,4,1
818,1,0,3.8,133,4,62,1810,1646,200.0,4,1
819,0,0,3.8,39,30,62,2787,1597,250.0,4,1
820,0,0,4.0,64,4,62,817,1557,200.0,4,1
827,0,0,3.8,148,4,62,4493,878,150.0,4,1
830,0,0,3.8,55,75,44,343,597,300.0,4,1
855,0,1,3.8,977,1,46,184,883,1300.0,5,1
856,0,0,4.1,868,1,57,238,706,1200.0,5,1
858,0,0,3.3,62,1,4,1283,1599,800.0,5,1
861,0,0,3.0,98,1,4,3416,1203,800.0,5,1
862,0,0,2.7,377,4,57,4906,1299,1100.0,5,1
863,1,1,4.4,2487,3,57,2171,1350,900.0,0,2
864,1,1,4.2,1964,3,20,2724,87,1000.0,0,2
865,1,0,4.3,3178,3,20,1228,1409,750.0,0,2
866,1,0,3.3,455,3,20,1946,50,550.0,0,2
868,0,1,4.7,3845,28,20,2676,1332,1600.0,0,2
869,0,0,4.3,353,28,20,3294,1424,1200.0,0,2
870,0,1,4.1,1234,28,20,844,1431,800.0,0,2
871,1,1,4.1,1538,28,20,2371,165,1000.0,0,2
873,1,1,3.8,756,28,20,2622,1163,1000.0,0,2
874,1,1,4.0,347,28,20,4804,1302,1000.0,0,2
876,0,1,4.0,165,28,20,2147,1602,1000.0,0,2
877,0,0,3.3,177,28,20,865,1229,950.0,0,2
879,1,0,3.0,102,0,20,4894,1599,600.0,0,2
881,0,1,4.0,200,3,13,2906,384,700.0,1,2
882,1,0,3.9,102,3,13,709,353,450.0,1,2
884,1,0,3.7,171,3,13,1605,333,300.0,1,2
885,1,0,3.7,37,3,13,4976,360,400.0,1,2
886,1,0,3.9,40,3,41,5133,443,400.0,1,2
887,0,0,3.9,125,3,13,4342,447,500.0,1,2
888,1,0,3.9,49,3,13,1977,333,600.0,1,2
890,0,0,3.8,69,3,14,1648,351,700.0,1,2
893,0,0,3.9,78,3,13,456,333,350.0,1,2
895,1,0,2.7,48,3,65,4978,551,650.0,1,2
902,1,0,4.1,46,28,13,3697,503,600.0,1,2
903,0,0,4.0,129,28,13,2849,384,600.0,1,2
905,1,1,3.9,727,28,13,1707,417,800.0,1,2
907,0,0,4.1,521,28,13,3951,405,550.0,1,2
908,1,0,4.1,203,28,65,617,367,650.0,1,2
909,1,1,4.4,4381,28,22,982,1478,600.0,1,2
910,1,0,3.7,131,28,13,3987,505,400.0,1,2
912,1,0,3.7,46,28,13,2042,319,450.0,1,2
915,0,0,3.4,48,28,13,1714,437,550.0,1,2
919,1,0,3.7,127,28,13,3905,468,700.0,1,2
920,1,0,2.7,85,28,13,3876,497,500.0,1,2
922,1,0,4.5,1178,0,29,2328,936,500.0,2,2
923,1,0,3.7,335,0,20,1935,65,800.0,2,2
924,1,0,3.8,254,0,20,3030,283,800.0,2,2
927,1,0,4.1,63,28,72,4455,874,300.0,2,2
928,1,0,4.0,244,0,62,4062,203,400.0,2,2
932,1,0,2.9,255,0,62,3566,1163,250.0,2,2
933,1,0,4.5,549,0,30,409,778,400.0,2,2
934,1,0,4.1,775,0,62,3456,1607,300.0,2,2
936,1,0,3.6,208,28,72,1115,286,300.0,2,2
937,1,0,4.1,739,28,29,1284,567,500.0,2,2
938,1,0,3.8,310,3,62,1848,1163,400.0,2,2
940,1,0,4.0,126,0,62,2624,1163,150.0,2,2
941,1,0,4.1,427,3,72,3558,1399,500.0,2,2
942,1,0,4.0,197,0,62,2274,1163,300.0,2,2
943,1,0,4.1,601,0,62,3768,1487,700.0,2,2
944,1,0,3.9,488,28,72,5092,274,400.0,2,2
945,1,0,4.0,396,3,62,3735,1599,400.0,2,2
946,1,0,3.6,474,0,62,4932,1242,450.0,2,2
947,1,0,2.9,172,0,62,3513,1203,300.0,2,2
948,1,0,3.1,175,3,62,265,42,250.0,2,2
949,1,0,4.0,939,0,20,2963,560,600.0,2,2
950,1,0,3.9,173,0,62,4115,1471,250.0,2,2
951,1,0,3.9,77,3,62,1381,1163,400.0,2,2
952,1,0,3.9,326,0,13,3986,1202,200.0,2,2
953,1,0,3.3,212,28,62,336,237,350.0,2,2
954,1,0,4.1,464,0,62,2666,1186,300.0,2,2
955,1,0,3.3,628,3,29,4284,929,450.0,2,2
956,1,0,3.6,518,28,20,1688,1599,400.0,2,2
957,1,0,3.9,70,3,30,1352,772,350.0,2,2
958,1,0,3.9,62,28,62,2141,325,300.0,2,2
961,1,0,4.4,819,30,30,2340,962,400.0,2,2
965,1,1,4.2,1964,3,20,2724,87,1000.0,2,2
967,1,0,4.0,138,3,29,2297,236,650.0,2,2
968,1,0,3.3,455,3,20,1946,50,550.0,2,2
971,1,0,3.8,181,3,41,760,1188,600.0,2,2
974,1,0,3.6,43,28,62,2163,312,300.0,2,2
975,1,0,2.7,159,28,62,4045,1475,750.0,2,2
984,1,0,3.2,166,3,62,4339,1517,600.0,2,2
986,1,0,3.7,128,3,72,995,283,400.0,2,2
989,1,0,2.9,126,0,62,2566,567,300.0,2,2
991,1,0,4.0,952,30,62,1122,1362,400.0,2,2
993,1,0,3.8,472,3,62,735,324,600.0,2,2
994,1,1,4.0,739,3,20,989,297,800.0,2,2
996,1,0,3.9,255,0,20,1011,50,500.0,2,2
997,1,0,4.0,1974,28,20,2489,295,800.0,2,2
1000,1,1,4.2,1428,28,20,3405,64,800.0,2,2
1008,1,0,4.0,332,28,62,3171,1599,300.0,2,2
1009,1,1,4.0,199,28,62,3618,1486,700.0,2,2
1011,1,0,3.700511687126141,0,28,20,984,1382,600.0,2,2
1013,1,0,3.9,437,28,62,737,323,400.0,2,2
1014,1,0,3.8,207,3,20,1057,238,700.0,2,2
1015,1,1,4.4,4381,28,22,982,1478,600.0,2,2
1016,1,0,3.8,55,3,62,2783,1599,300.0,2,2
1018,1,0,4.0,597,3,62,3495,1163,400.0,2,2
1022,1,0,3.0,102,0,20,4894,1599,600.0,2,2
1023,1,0,3.9,189,0,62,1947,257,300.0,2,2
1024,1,0,3.7,131,28,13,3987,505,400.0,2,2
1025,1,0,4.2,373,28,20,3366,267,750.0,2,2
1026,1,0,3.9,435,0,20,2493,198,650.0,2,2
1028,1,0,4.1,292,0,20,1052,251,700.0,2,2
1029,1,0,3.6,137,3,62,2157,84,300.0,2,2
