,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,type,city,costfor2
58,0,0,3.5,7.211102550927978,1,62,4306,1557,2,1,17.320508075688775
59,0,0,3.7,11.40175425099138,1,62,1735,1557,2,1,14.142135623730953
60,0,0,3.8,6.708203932499369,1,72,1787,175,2,1,20.0
61,1,0,4.1,14.177446878757824,1,62,2808,1607,2,1,17.320508075688775
62,1,0,4.0,27.76688675382964,1,20,3472,1599,2,1,21.213203435596427
63,0,0,3.0,9.899494936611664,1,4,3416,1203,2,1,28.284271247461906
64,1,1,4.1,13.228756555322953,30,20,2035,1601,2,1,22.360679774997894
65,1,0,3.8,23.2379000772445,4,20,4287,1360,2,1,25.495097567963924
66,1,0,3.8,11.135528725660045,46,62,4273,586,2,1,20.0
67,1,0,4.1,18.43908891458577,1,72,3531,1399,2,1,22.360679774997894
68,1,0,3.8,22.47220505424423,1,62,553,323,2,1,21.213203435596427
69,1,0,4.1,20.92844953645635,30,30,4248,796,2,1,22.360679774997894
70,1,0,3.7,16.24807680927192,54,20,2482,1219,2,1,27.386127875258307
71,1,0,3.7,9.848857801796104,30,62,1038,1393,2,1,18.708286933869708
72,1,0,3.6,13.96424004376894,30,20,4187,599,2,1,28.284271247461906
73,1,0,4.6,15.0996688705415,30,13,3893,360,2,1,20.0
74,1,1,4.1,19.078784028338912,30,20,3248,1675,2,1,34.64101615137755
75,1,0,3.7,10.3440804327886,4,9,2566,222,2,1,12.24744871391589
76,1,0,3.2,12.922847983320086,46,62,1630,1604,2,1,17.320508075688775
77,1,0,4.2,8.0,4,62,3899,1520,2,1,22.360679774997894
78,1,0,3.0,17.029386365926403,1,62,1117,1222,2,1,21.213203435596427
79,1,0,4.1,15.264337522473747,4,62,897,1638,2,1,14.142135623730953
80,1,0,3.8,10.723805294763608,46,62,3817,868,2,1,15.811388300841896
81,1,1,3.9,17.05872210923198,30,13,636,369,2,1,25.495097567963924
82,1,0,4.5,12.449899597988733,30,9,4556,229,2,1,17.320508075688775
83,1,0,4.1,17.46424919657298,46,20,3935,971,2,1,26.457513110645905
84,1,0,3.9,6.164414002968976,1,30,2140,955,2,1,12.24744871391589
85,1,0,3.9,21.0,1,62,265,1602,2,1,20.0
86,1,0,4.3,25.099800796022265,30,62,3575,1464,2,1,14.142135623730953
87,1,0,3.9,12.649110640673518,46,62,5213,84,2,1,17.320508075688775
88,1,0,4.2,16.941074346097416,1,62,3459,1163,2,1,18.708286933869708
89,1,0,4.1,20.049937655763426,1,13,5183,333,2,1,22.360679774997894
90,1,0,3.8,21.656407827707717,4,20,2824,1215,2,1,27.386127875258307
91,1,0,3.3,22.60530911091463,46,20,4669,166,2,1,23.45207879911715
92,1,0,3.9,16.24807680927192,1,62,2465,1557,2,1,14.142135623730953
93,1,0,3.0,7.874007874011811,1,13,489,445,2,1,20.0
94,1,0,3.8,26.32489316217637,1,20,4754,1484,2,1,27.386127875258307
95,1,0,3.8,15.556349186104043,30,20,3185,1095,2,1,25.495097567963924
96,1,0,4.1,12.767145334803704,4,62,5211,686,2,1,22.360679774997894
97,1,0,4.2,13.820274961085254,4,62,2804,1646,2,1,15.811388300841896
98,1,0,3.5,5.656854249492381,1,62,2125,1496,2,1,12.24744871391589
99,1,0,2.5,15.716233645501712,1,20,3483,1163,2,1,22.360679774997894
100,1,1,4.1,48.36320915737499,30,20,5067,1213,2,1,38.72983346207417
101,1,0,4.1,18.35755975068582,30,62,3274,549,2,1,17.320508075688775
102,1,0,3.9,11.61895003862225,1,20,4727,1229,2,1,28.284271247461906
103,1,0,3.6,13.114877048604,79,20,265,1203,2,1,26.457513110645905
104,1,0,3.6,10.246950765959598,1,20,3791,1688,2,1,26.457513110645905
105,1,0,4.2,22.44994432064365,1,13,5182,486,2,1,23.45207879911715
106,1,1,4.3,33.60059523282288,30,20,3930,1015,2,1,36.05551275463989
107,1,0,4.3,29.32575659723036,1,30,3155,794,2,1,22.360679774997894
108,1,0,3.8,20.29778313018444,30,20,2658,77,2,1,26.457513110645905
109,1,1,3.9,11.916375287812984,30,20,3004,1099,2,1,31.622776601683796
110,1,0,3.6,11.958260743101398,30,20,4066,1564,2,1,27.386127875258307
111,1,0,4.4,13.45362404707371,30,9,3678,232,2,1,15.811388300841896
112,1,0,3.8,8.366600265340756,30,62,4780,1461,2,1,14.142135623730953
113,1,0,3.8,12.806248474865695,4,62,3972,1486,2,1,24.49489742783178
114,1,0,3.6,7.615773105863909,46,62,577,367,2,1,25.495097567963924
115,0,0,3.8,12.16552506059644,4,22,3562,1201,2,1,23.45207879911715
116,0,0,3.9,14.352700094407323,4,62,1027,1595,2,1,21.213203435596427
117,0,0,3.7,14.730919862656236,4,20,853,1288,2,1,21.213203435596427
118,0,0,3.8,12.16552506059644,4,62,4493,878,2,1,12.24744871391589
119,1,0,2.9,13.30413469565007,30,20,4034,1218,2,1,26.457513110645905
120,1,0,3.7,11.6619037896906,1,62,5120,1517,2,1,24.49489742783178
121,1,0,4.1,13.601470508735444,30,62,1991,1028,2,1,14.142135623730953
122,1,0,3.8,12.449899597988733,54,20,3743,1607,2,1,20.0
123,1,0,3.8,6.48074069840786,1,62,4319,1599,2,1,17.320508075688775
124,1,0,3.8,16.911534525287763,4,20,3316,1163,2,1,24.49489742783178
125,1,0,3.8,12.649110640673518,1,20,2823,1203,2,1,26.457513110645905
126,1,0,3.8,7.681145747868608,1,20,4745,1203,2,1,27.386127875258307
127,1,0,4.0,9.433981132056603,30,62,2052,1561,2,1,14.142135623730953
128,1,0,3.9,6.324555320336759,4,20,2752,1287,2,1,24.49489742783178
129,1,0,2.5,5.916079783099616,4,62,106,822,2,1,14.142135623730953
130,1,0,3.6,7.874007874011811,1,65,3626,991,2,1,24.49489742783178
131,1,0,4.1,11.789826122551595,30,20,4311,1284,2,1,23.45207879911715
132,1,0,3.7,15.394804318340652,1,62,984,1581,2,1,14.142135623730953
133,1,0,3.9,19.697715603592208,1,20,1034,300,2,1,25.495097567963924
134,1,0,3.9,11.31370849898476,46,20,2763,1578,2,1,22.360679774997894
135,1,1,4.1,43.30127018922193,30,20,1540,1166,2,1,34.64101615137755
